final_relation_key,pred_label,entity1_display_name,entity1_canonical_text,entity1_type,entity1_merge_id,entity1_pubchem_cid,entity1_pubchem_inchikey,entity2_display_name,entity2_canonical_text,entity2_type,entity2_merge_id,entity2_pubchem_cid,entity2_pubchem_inchikey,relation_group,relation_count,max_pred_score,mean_pred_score,pmids,same_sentence_count,has_validated_pesticide,has_unvalidated_chemical,example_title,unique_pmid_count
INCHIKEY:CSNNHWWHGAXBCP-UHFFFAOYSA-L||ChemicalEntity -- INCHIKEY:MXWJVTOOROXGIU-UHFFFAOYSA-N||ChemicalEntity,Association,atrazine,atrazine,ChemicalEntity,INCHIKEY:MXWJVTOOROXGIU-UHFFFAOYSA-N,2256,MXWJVTOOROXGIU-UHFFFAOYSA-N,magnesium sulfate,magnesium sulfate,ChemicalEntity,INCHIKEY:CSNNHWWHGAXBCP-UHFFFAOYSA-L,24083,CSNNHWWHGAXBCP-UHFFFAOYSA-L,General association,1,7.532007,7.532,10868593,1,True,False,Analysis of pesticide residues in mixed fruit and vegetable extracts by direct sample introduction/gas chromatography/tandem mass spectrometry.,1
INCHIKEY:DMBHHRLKUKUOEG-UHFFFAOYSA-N||ChemicalEntity -- INCHIKEY:RLBIQVVOMOPOHC-UHFFFAOYSA-N||ChemicalEntity,Association,metaphos,metaphos,ChemicalEntity,INCHIKEY:RLBIQVVOMOPOHC-UHFFFAOYSA-N,4130,RLBIQVVOMOPOHC-UHFFFAOYSA-N,diphenylamine,diphenylamine,ChemicalEntity,INCHIKEY:DMBHHRLKUKUOEG-UHFFFAOYSA-N,11487,DMBHHRLKUKUOEG-UHFFFAOYSA-N,General association,1,7.532007,7.532,10868593,1,True,False,Analysis of pesticide residues in mixed fruit and vegetable extracts by direct sample introduction/gas chromatography/tandem mass spectrometry.,1
INCHIKEY:FIPWRIJSWJWJAI-UHFFFAOYSA-N||ChemicalEntity -- INCHIKEY:MXWJVTOOROXGIU-UHFFFAOYSA-N||ChemicalEntity,Association,atrazine,atrazine,ChemicalEntity,INCHIKEY:MXWJVTOOROXGIU-UHFFFAOYSA-N,2256,MXWJVTOOROXGIU-UHFFFAOYSA-N,piperonyl butoxide,piperonyl butoxide,ChemicalEntity,INCHIKEY:FIPWRIJSWJWJAI-UHFFFAOYSA-N,5794,FIPWRIJSWJWJAI-UHFFFAOYSA-N,General association,1,7.532007,7.532,10868593,1,True,False,Analysis of pesticide residues in mixed fruit and vegetable extracts by direct sample introduction/gas chromatography/tandem mass spectrometry.,1
INCHIKEY:KRHYYFGTRYWZRS-UHFFFAOYSA-M||ChemicalEntity -- INCHIKEY:OCJBOOLMMGQPQU-UHFFFAOYSA-N||ChemicalEntity,Association,p-dichlorobenzene,p-dichlorobenzene,ChemicalEntity,INCHIKEY:OCJBOOLMMGQPQU-UHFFFAOYSA-N,4685,OCJBOOLMMGQPQU-UHFFFAOYSA-N,fluoride,fluoride,ChemicalEntity,INCHIKEY:KRHYYFGTRYWZRS-UHFFFAOYSA-M,28179,KRHYYFGTRYWZRS-UHFFFAOYSA-M,General association,1,7.532007,7.532,11139167,1,True,False,Development of California Public Health Goals (PHGs) for chemicals in drinking water.,1
INCHIKEY:LDVVMCZRFWMZSG-UHFFFAOYSA-N||ChemicalEntity -- INCHIKEY:ZYHMJXZULPZUED-UHFFFAOYSA-N||ChemicalEntity,Association,[2-(4-tert-butylphenoxy)cyclohexyl] prop-2-ynyl sulfite,[2-(4-tert-butylphenoxy)cyclohexyl] prop-2-ynyl sulfite,ChemicalEntity,INCHIKEY:ZYHMJXZULPZUED-UHFFFAOYSA-N,4936,ZYHMJXZULPZUED-UHFFFAOYSA-N,captan,captan,ChemicalEntity,INCHIKEY:LDVVMCZRFWMZSG-UHFFFAOYSA-N,8606,LDVVMCZRFWMZSG-UHFFFAOYSA-N,General association,1,7.532007,7.532,10868593,1,True,False,Analysis of pesticide residues in mixed fruit and vegetable extracts by direct sample introduction/gas chromatography/tandem mass spectrometry.,1
INCHIKEY:ZOCSXAVNDGMNBV-UHFFFAOYSA-N||ChemicalEntity -- TEXT:OrganismTaxon:c felis||OrganismTaxon,Association,fipronil,fipronil,ChemicalEntity,INCHIKEY:ZOCSXAVNDGMNBV-UHFFFAOYSA-N,3352,ZOCSXAVNDGMNBV-UHFFFAOYSA-N,C felis,C felis,OrganismTaxon,TEXT:OrganismTaxon:c felis,,,General association,1,7.532007,7.532,11110457,1,True,False,"Evaluation of efficacy of selamectin, fipronil, and imidacloprid against Ctenocephalides felis in dogs.",1
INCHIKEY:ZQEIXNIJLIKNTD-GFCCVEGCSA-N||ChemicalEntity --> TEXT:OrganismTaxon:white grandiflora petunia||OrganismTaxon,Negative_Correlation,mefenoxam,mefenoxam,ChemicalEntity,INCHIKEY:ZQEIXNIJLIKNTD-GFCCVEGCSA-N,11150163,ZQEIXNIJLIKNTD-GFCCVEGCSA-N,white grandiflora petunia,white grandiflora petunia,OrganismTaxon,TEXT:OrganismTaxon:white grandiflora petunia,,,Negative effect,1,7.5280733,7.528,30764445,1,True,False,Identification of Phytophthora cryptogea as the Cause of Rapid Decline of Petunia (Petunia × hybrida) in Chile.,1
INCHIKEY:SXSGXWCSHSVPGB-UHFFFAOYSA-N||ChemicalEntity -- TEXT:OrganismTaxon:s. vesicarium||OrganismTaxon,Association,fluxapyroxad,fluxapyroxad,ChemicalEntity,INCHIKEY:SXSGXWCSHSVPGB-UHFFFAOYSA-N,16095400,SXSGXWCSHSVPGB-UHFFFAOYSA-N,S. vesicarium,S. vesicarium,OrganismTaxon,TEXT:OrganismTaxon:s. vesicarium,,,General association,1,7.528021,7.528,31596693,1,True,False,Emergence of Stemphylium Leaf Blight of Onion in New York Associated With Fungicide Resistance.,1
INCHIKEY:JFLRKDZMHNBDQS-SGSTVUCESA-N||ChemicalEntity -- INCHIKEY:QCAWEPFNJXQPAN-UHFFFAOYSA-N||ChemicalEntity,Association,methoxyfenozide,methoxyfenozide,ChemicalEntity,INCHIKEY:QCAWEPFNJXQPAN-UHFFFAOYSA-N,105010,QCAWEPFNJXQPAN-UHFFFAOYSA-N,spinosad,spinosad,ChemicalEntity,INCHIKEY:JFLRKDZMHNBDQS-SGSTVUCESA-N,17754356,JFLRKDZMHNBDQS-SGSTVUCESA-N,General association,1,7.525844,7.526,27098995,1,True,False,"Methoxyfenozide resistance of the housefly, Musca domestica L. (Diptera: Muscidae): cross-resistance patterns, stability and associated fitness costs.",1
INCHIKEY:QCAWEPFNJXQPAN-UHFFFAOYSA-N||ChemicalEntity -- TEXT:OrganismTaxon:housefly||OrganismTaxon,Association,methoxyfenozide,methoxyfenozide,ChemicalEntity,INCHIKEY:QCAWEPFNJXQPAN-UHFFFAOYSA-N,105010,QCAWEPFNJXQPAN-UHFFFAOYSA-N,housefly,housefly,OrganismTaxon,TEXT:OrganismTaxon:housefly,,,General association,1,7.525844,7.526,27098995,1,True,False,"Methoxyfenozide resistance of the housefly, Musca domestica L. (Diptera: Muscidae): cross-resistance patterns, stability and associated fitness costs.",1
INCHIKEY:YKBZOVFACRVRJN-UHFFFAOYSA-N||ChemicalEntity --> TEXT:DiseaseOrPhenotypicFeature:intestinal toxicity||DiseaseOrPhenotypicFeature,Positive_Correlation,dinotefuran,dinotefuran,ChemicalEntity,INCHIKEY:YKBZOVFACRVRJN-UHFFFAOYSA-N,197701,YKBZOVFACRVRJN-UHFFFAOYSA-N,intestinal toxicity,intestinal toxicity,DiseaseOrPhenotypicFeature,TEXT:DiseaseOrPhenotypicFeature:intestinal toxicity,,,Positive effect,1,7.5255504,7.526,38470098,1,True,False,"Non-acute exposure of neonicotinoids, health risk assessment, and evidence integration: a systematic review.",1
INCHIKEY:KXDHJXZQYSOELW-UHFFFAOYSA-M||ChemicalEntity --> INCHIKEY:WYMSBXTXOHUIGT-UHFFFAOYSA-N||ChemicalEntity,Negative_Correlation,carbamate,carbamate,ChemicalEntity,INCHIKEY:KXDHJXZQYSOELW-UHFFFAOYSA-M,276,KXDHJXZQYSOELW-UHFFFAOYSA-M,diethyl (4-nitrophenyl) phosphate,diethyl (4-nitrophenyl) phosphate,ChemicalEntity,INCHIKEY:WYMSBXTXOHUIGT-UHFFFAOYSA-N,9395,WYMSBXTXOHUIGT-UHFFFAOYSA-N,Negative effect,1,7.524955,7.525,2731661,1,True,False,Inhibition of human serum complement activity by diisopropylfluorophosphate and selected anticholinesterase insecticides.,1
INCHIKEY:TWFZGCMQGLPBSX-UHFFFAOYSA-N||ChemicalEntity -- TEXT:GeneOrGeneProduct:urease||GeneOrGeneProduct,Association,carbendazim,carbendazim,ChemicalEntity,INCHIKEY:TWFZGCMQGLPBSX-UHFFFAOYSA-N,25429,TWFZGCMQGLPBSX-UHFFFAOYSA-N,urease,urease,GeneOrGeneProduct,TEXT:GeneOrGeneProduct:urease,,,General association,1,7.524863,7.525,36596378,1,True,False,Combined effects of spent mushroom substrate and dicyandiamide on carbendazim dissipation in soils: Double-edged sword effects and potential risk controls.,1
INCHIKEY:TWFZGCMQGLPBSX-UHFFFAOYSA-N||ChemicalEntity -- TEXT:OrganismTaxon:mushrooms||OrganismTaxon,Association,carbendazim,carbendazim,ChemicalEntity,INCHIKEY:TWFZGCMQGLPBSX-UHFFFAOYSA-N,25429,TWFZGCMQGLPBSX-UHFFFAOYSA-N,mushrooms,mushrooms,OrganismTaxon,TEXT:OrganismTaxon:mushrooms,,,General association,1,7.524863,7.525,36596378,1,True,False,Combined effects of spent mushroom substrate and dicyandiamide on carbendazim dissipation in soils: Double-edged sword effects and potential risk controls.,1
INCHIKEY:TWFZGCMQGLPBSX-UHFFFAOYSA-N||ChemicalEntity -- TEXT:OrganismTaxon:sms||OrganismTaxon,Association,carbendazim,carbendazim,ChemicalEntity,INCHIKEY:TWFZGCMQGLPBSX-UHFFFAOYSA-N,25429,TWFZGCMQGLPBSX-UHFFFAOYSA-N,SMS,SMS,OrganismTaxon,TEXT:OrganismTaxon:sms,,,General association,1,7.524863,7.525,36596378,1,True,False,Combined effects of spent mushroom substrate and dicyandiamide on carbendazim dissipation in soils: Double-edged sword effects and potential risk controls.,1
INCHIKEY:JXSJBGJIGXNWCI-UHFFFAOYSA-N||ChemicalEntity --> TEXT:GeneOrGeneProduct:bax||GeneOrGeneProduct,Negative_Correlation,carbophos,carbophos,ChemicalEntity,INCHIKEY:JXSJBGJIGXNWCI-UHFFFAOYSA-N,4004,JXSJBGJIGXNWCI-UHFFFAOYSA-N,BAX,BAX,GeneOrGeneProduct,TEXT:GeneOrGeneProduct:bax,,,Negative effect,1,7.523741,7.524,35453442,1,True,False,"Ornipural® Mitigates Malathion-Induced Hepato-Renal Damage in Rats via Amelioration of Oxidative Stress Biomarkers, Restoration of Antioxidant Activity, and Attenuation of Inflammatory Response.",1
INCHIKEY:JXSJBGJIGXNWCI-UHFFFAOYSA-N||ChemicalEntity --> TEXT:GeneOrGeneProduct:nrf2||GeneOrGeneProduct,Negative_Correlation,carbophos,carbophos,ChemicalEntity,INCHIKEY:JXSJBGJIGXNWCI-UHFFFAOYSA-N,4004,JXSJBGJIGXNWCI-UHFFFAOYSA-N,Nrf2,Nrf2,GeneOrGeneProduct,TEXT:GeneOrGeneProduct:nrf2,,,Negative effect,1,7.523741,7.524,35453442,1,True,False,"Ornipural® Mitigates Malathion-Induced Hepato-Renal Damage in Rats via Amelioration of Oxidative Stress Biomarkers, Restoration of Antioxidant Activity, and Attenuation of Inflammatory Response.",1
INCHIKEY:KXDHJXZQYSOELW-UHFFFAOYSA-M||ChemicalEntity --> TEXT:DiseaseOrPhenotypicFeature:nhl||DiseaseOrPhenotypicFeature,Negative_Correlation,carbamate,carbamate,ChemicalEntity,INCHIKEY:KXDHJXZQYSOELW-UHFFFAOYSA-M,276,KXDHJXZQYSOELW-UHFFFAOYSA-M,NHL,NHL,DiseaseOrPhenotypicFeature,TEXT:DiseaseOrPhenotypicFeature:nhl,,,Negative effect,1,7.523741,7.524,35468782,1,True,False,Environmental pesticide exposure and non-Hodgkin lymphoma survival: a population-based study.,1
INCHIKEY:XDDAORKBJWWYJS-UHFFFAOYSA-N||ChemicalEntity --> TEXT:DiseaseOrPhenotypicFeature:nhl||DiseaseOrPhenotypicFeature,Negative_Correlation,glyphosate,glyphosate,ChemicalEntity,INCHIKEY:XDDAORKBJWWYJS-UHFFFAOYSA-N,3496,XDDAORKBJWWYJS-UHFFFAOYSA-N,NHL,NHL,DiseaseOrPhenotypicFeature,TEXT:DiseaseOrPhenotypicFeature:nhl,,,Negative effect,1,7.523741,7.524,35468782,1,True,False,Environmental pesticide exposure and non-Hodgkin lymphoma survival: a population-based study.,1
INCHIKEY:WFDXOXNFNRHQEC-GHRIWEEISA-N||ChemicalEntity -- TEXT:OrganismTaxon:p. infestans||OrganismTaxon,Association,azoxystrobin,azoxystrobin,ChemicalEntity,INCHIKEY:WFDXOXNFNRHQEC-GHRIWEEISA-N,3034285,WFDXOXNFNRHQEC-GHRIWEEISA-N,P. infestans,P. infestans,OrganismTaxon,TEXT:OrganismTaxon:p. infestans,,,General association,1,7.5221095,7.522,26853908,1,True,False,Comparative analyses of fungicide sensitivity and SSR marker variations indicate a low risk of developing azoxystrobin resistance in Phytophthora infestans.,1
INCHIKEY:VXSIXFKKSNGRRO-MXOVTSAMSA-N||ChemicalEntity --> TEXT:DiseaseOrPhenotypicFeature:bollworm||DiseaseOrPhenotypicFeature,Negative_Correlation,pyrethroid,pyrethroid,ChemicalEntity,INCHIKEY:VXSIXFKKSNGRRO-MXOVTSAMSA-N,60202781,VXSIXFKKSNGRRO-MXOVTSAMSA-N,Bollworm,Bollworm,DiseaseOrPhenotypicFeature,TEXT:DiseaseOrPhenotypicFeature:bollworm,,,Negative effect,1,7.521176,7.521,18284743,1,True,False,Detection and evolution of resistance to the pyrethroid cypermethrin in Helicoverpa zea (Lepidoptera: Noctuidae) populations in Texas.,1
INCHIKEY:FVQITOLOYMWVFU-UHFFFAOYSA-N||ChemicalEntity --> TEXT:OrganismTaxon:r. norvegicus||OrganismTaxon,Negative_Correlation,difenacoum,difenacoum,ChemicalEntity,INCHIKEY:FVQITOLOYMWVFU-UHFFFAOYSA-N,54676884,FVQITOLOYMWVFU-UHFFFAOYSA-N,R. norvegicus,R. norvegicus,OrganismTaxon,TEXT:OrganismTaxon:r. norvegicus,,,Negative effect,1,7.520785,7.521,7462594,1,True,False,Laboratory trials of seven rodenticides for use against the cotton rat (Sigmodon hispidus).,1
INCHIKEY:WRPIRSINYZBGPK-UHFFFAOYSA-N||ChemicalEntity --> TEXT:OrganismTaxon:turnip||OrganismTaxon,Negative_Correlation,quinoxyfen,quinoxyfen,ChemicalEntity,INCHIKEY:WRPIRSINYZBGPK-UHFFFAOYSA-N,3391107,WRPIRSINYZBGPK-UHFFFAOYSA-N,turnip,turnip,OrganismTaxon,TEXT:OrganismTaxon:turnip,,,Negative effect,2,7.520753,7.457,19226738,1,True,False,Effect of fungicides and of biocontrol agents against powdery mildew of turnip.,1
INCHIKEY:AWYOMXWDGWUJHS-UHFFFAOYSA-N||ChemicalEntity --> TEXT:OrganismTaxon:western corn rootworm||OrganismTaxon,Negative_Correlation,phostebupirim,phostebupirim,ChemicalEntity,INCHIKEY:AWYOMXWDGWUJHS-UHFFFAOYSA-N,93516,AWYOMXWDGWUJHS-UHFFFAOYSA-N,western corn rootworm,western corn rootworm,OrganismTaxon,TEXT:OrganismTaxon:western corn rootworm,,,Negative effect,1,7.5200233,7.52,24224233,1,True,False,"Effect of Bt maize and soil insecticides on yield, injury, and rootworm survival: implications for resistance management.",1
INCHIKEY:KAATUXNTWXVJKI-UHFFFAOYSA-N||ChemicalEntity --> INCHIKEY:VGPIBGGRCVEHQZ-UHFFFAOYSA-N||ChemicalEntity,Negative_Correlation,cypermethrin,cypermethrin,ChemicalEntity,INCHIKEY:KAATUXNTWXVJKI-UHFFFAOYSA-N,2912,KAATUXNTWXVJKI-UHFFFAOYSA-N,bitertanol,bitertanol,ChemicalEntity,INCHIKEY:VGPIBGGRCVEHQZ-UHFFFAOYSA-N,91656,VGPIBGGRCVEHQZ-UHFFFAOYSA-N,Negative effect,1,7.5200233,7.52,25684042,1,True,False,Effects of currently used pesticides and their mixtures on the function of thyroid hormone and aryl hydrocarbon receptor in cell culture.,1
INCHIKEY:QHOQHJPRIBSPCY-UHFFFAOYSA-N||ChemicalEntity --> TEXT:DiseaseOrPhenotypicFeature:congenital malformations||DiseaseOrPhenotypicFeature,Negative_Correlation,pirimiphos-methyl,pirimiphos-methyl,ChemicalEntity,INCHIKEY:QHOQHJPRIBSPCY-UHFFFAOYSA-N,34526,QHOQHJPRIBSPCY-UHFFFAOYSA-N,congenital malformations,congenital malformations,DiseaseOrPhenotypicFeature,TEXT:DiseaseOrPhenotypicFeature:congenital malformations,,,Negative effect,1,7.5200233,7.52,26359731,1,True,False,"Effects of Common Pesticides on Prostaglandin D2 (PGD2) Inhibition in SC5 Mouse Sertoli Cells, Evidence of Binding at the COX-2 Active Site, and Implications for Endocrine Disruption.",1
INCHIKEY:KAATUXNTWXVJKI-UHFFFAOYSA-N||ChemicalEntity --> TEXT:OrganismTaxon:blattella germanica l||OrganismTaxon,Negative_Correlation,beta-cypermethrin,beta-cypermethrin,ChemicalEntity,INCHIKEY:KAATUXNTWXVJKI-UHFFFAOYSA-N,2912,KAATUXNTWXVJKI-UHFFFAOYSA-N,Blattella germanica L.,Blattella germanica L.,OrganismTaxon,TEXT:OrganismTaxon:blattella germanica l,,,Negative effect,1,7.51899,7.519,30835785,1,True,False,Comparative Proteomics Analysis Between the Short-Term Stress and Long-Term Adaptation of the Blattella germanica (Blattodea: Blattellidae) in Response to Beta-Cypermethrin.,1
INCHIKEY:OMFRMAHOUUJSGP-IRHGGOMRSA-N||ChemicalEntity --> TEXT:OrganismTaxon:t. podisi||OrganismTaxon,Positive_Correlation,bifenthrin,bifenthrin,ChemicalEntity,INCHIKEY:OMFRMAHOUUJSGP-IRHGGOMRSA-N,6442842,OMFRMAHOUUJSGP-IRHGGOMRSA-N,T. podisi,T. podisi,OrganismTaxon,TEXT:OrganismTaxon:t. podisi,,,Positive effect,1,7.515405,7.515,28197851,1,True,False,Toxicity of Pesticide Tank Mixtures from Rice Crops Against Telenomus podisi Ashmead (Hymenoptera: Platygastridae).,1
INCHIKEY:CFRPSFYHXJZSBI-DHZHZOJOSA-N||ChemicalEntity --> TEXT:OrganismTaxon:u. formosanum||OrganismTaxon,Negative_Correlation,nitenpyram,nitenpyram,ChemicalEntity,INCHIKEY:CFRPSFYHXJZSBI-DHZHZOJOSA-N,3034287,CFRPSFYHXJZSBI-DHZHZOJOSA-N,U. formosanum,U. formosanum,OrganismTaxon,TEXT:OrganismTaxon:u. formosanum,,,Negative effect,1,7.515337,7.515,36005318,1,True,False,Life Table Construction under Different Temperatures and Insecticide Susceptibility Analysis of Uroleucon formosanum (Hemiptera: Aphididae).,1
INCHIKEY:IRUJZVNXZWPBMU-UHFFFAOYSA-N||ChemicalEntity --> INCHIKEY:HOQNHSNBIIJJBO-UHFFFAOYSA-N||ChemicalEntity,Negative_Correlation,cartap,cartap,ChemicalEntity,INCHIKEY:IRUJZVNXZWPBMU-UHFFFAOYSA-N,27159,IRUJZVNXZWPBMU-UHFFFAOYSA-N,"3-(3-nitroso-1H-indol-2-yl)-1,3-dihydroindol-2-one","3-(3-nitroso-1H-indol-2-yl)-1,3-dihydroindol-2-one",ChemicalEntity,INCHIKEY:HOQNHSNBIIJJBO-UHFFFAOYSA-N,91530809,HOQNHSNBIIJJBO-UHFFFAOYSA-N,Negative effect,1,7.51482,7.515,34577120,1,True,False,"Design, Synthesis and Biological Evaluation of Novel Thienylpyridyl- and Thioether-Containing Acetamides and Their Derivatives as Pesticidal Agents.",1
INCHIKEY:MXWJVTOOROXGIU-UHFFFAOYSA-N||ChemicalEntity --> TEXT:OrganismTaxon:women||OrganismTaxon,Negative_Correlation,atrazine,atrazine,ChemicalEntity,INCHIKEY:MXWJVTOOROXGIU-UHFFFAOYSA-N,2256,MXWJVTOOROXGIU-UHFFFAOYSA-N,women,women,OrganismTaxon,TEXT:OrganismTaxon:women,,,Negative effect,1,7.514672,7.515,27919640,1,True,False,The French human biomonitoring program: First lessons from the perinatal component and future needs.,1
INCHIKEY:LQDARGUHUSPFNL-UHFFFAOYSA-N||ChemicalEntity -- INCHIKEY:PGOOBECODWQEAB-UHFFFAOYSA-N||ChemicalEntity,Association,clothianidin,clothianidin,ChemicalEntity,INCHIKEY:PGOOBECODWQEAB-UHFFFAOYSA-N,86287519,PGOOBECODWQEAB-UHFFFAOYSA-N,tetraconazole,tetraconazole,ChemicalEntity,INCHIKEY:LQDARGUHUSPFNL-UHFFFAOYSA-N,80277,LQDARGUHUSPFNL-UHFFFAOYSA-N,General association,2,7.514357,6.616,34343900,1,True,False,Binary and ternary toxicological interactions of clothianidin and eight commonly used pesticides on honey bees (Apis mellifera).,1
INCHIKEY:PGOOBECODWQEAB-UHFFFAOYSA-N||ChemicalEntity -- INCHIKEY:QQODLKZGRKWIFG-RUTXASTPSA-N||ChemicalEntity,Association,clothianidin,clothianidin,ChemicalEntity,INCHIKEY:PGOOBECODWQEAB-UHFFFAOYSA-N,86287519,PGOOBECODWQEAB-UHFFFAOYSA-N,beta-cyfluthrin,beta-cyfluthrin,ChemicalEntity,INCHIKEY:QQODLKZGRKWIFG-RUTXASTPSA-N,56608859,QQODLKZGRKWIFG-RUTXASTPSA-N,General association,1,7.514357,7.514,34343900,0,True,False,Binary and ternary toxicological interactions of clothianidin and eight commonly used pesticides on honey bees (Apis mellifera).,1
INCHIKEY:PGOOBECODWQEAB-UHFFFAOYSA-N||ChemicalEntity -- INCHIKEY:SIKJAQJRHWYJAI-UHFFFAOYSA-N||ChemicalEntity,Association,clothianidin,clothianidin,ChemicalEntity,INCHIKEY:PGOOBECODWQEAB-UHFFFAOYSA-N,86287519,PGOOBECODWQEAB-UHFFFAOYSA-N,1H-indole,1H-indole,ChemicalEntity,INCHIKEY:SIKJAQJRHWYJAI-UHFFFAOYSA-N,798,SIKJAQJRHWYJAI-UHFFFAOYSA-N,General association,1,7.514357,7.514,34343900,1,True,False,Binary and ternary toxicological interactions of clothianidin and eight commonly used pesticides on honey bees (Apis mellifera).,1
INCHIKEY:OOLBCHYXZDXLDS-UHFFFAOYSA-N||ChemicalEntity -- TEXT:OrganismTaxon:ryegrass||OrganismTaxon,Association,diclofop,diclofop,ChemicalEntity,INCHIKEY:OOLBCHYXZDXLDS-UHFFFAOYSA-N,38687,OOLBCHYXZDXLDS-UHFFFAOYSA-N,ryegrass,ryegrass,OrganismTaxon,TEXT:OrganismTaxon:ryegrass,,,General association,1,7.512484,7.512,17315272,1,True,False,Cross-resistance profile of mesosulfuron-methyl-resistant Italian ryegrass in the southern United States.,1
INCHIKEY:RLLPVAHGXHCWKJ-UHFFFAOYSA-N||ChemicalEntity --> TEXT:DiseaseOrPhenotypicFeature:neurological complications||DiseaseOrPhenotypicFeature,Negative_Correlation,permethrin,permethrin,ChemicalEntity,INCHIKEY:RLLPVAHGXHCWKJ-UHFFFAOYSA-N,40326,RLLPVAHGXHCWKJ-UHFFFAOYSA-N,neurological complications,neurological complications,DiseaseOrPhenotypicFeature,TEXT:DiseaseOrPhenotypicFeature:neurological complications,,,Negative effect,1,7.50963,7.51,2010292,1,True,False,[Pyrethrin and pyrethroid (permethrin) in the treatment of scabies and pediculosis].,1
INCHIKEY:XDDAORKBJWWYJS-UHFFFAOYSA-N||ChemicalEntity -- TEXT:DiseaseOrPhenotypicFeature:gastric ulcer syndrome||DiseaseOrPhenotypicFeature,Association,glyphosate,glyphosate,ChemicalEntity,INCHIKEY:XDDAORKBJWWYJS-UHFFFAOYSA-N,3496,XDDAORKBJWWYJS-UHFFFAOYSA-N,gastric ulcer syndrome,gastric ulcer syndrome,DiseaseOrPhenotypicFeature,TEXT:DiseaseOrPhenotypicFeature:gastric ulcer syndrome,,,General association,1,7.5088034,7.509,36325641,1,True,False,[Glyphosate detection in the duodenal fluid of horses with gastric ulcer syndrome].,1
INCHIKEY:PSOVNZZNOMJUBI-UHFFFAOYSA-N||ChemicalEntity --> TEXT:OrganismTaxon:loblolly pine||OrganismTaxon,Negative_Correlation,chlorantraniliprole,chlorantraniliprole,ChemicalEntity,INCHIKEY:PSOVNZZNOMJUBI-UHFFFAOYSA-N,11271640,PSOVNZZNOMJUBI-UHFFFAOYSA-N,loblolly pine,loblolly pine,OrganismTaxon,TEXT:OrganismTaxon:loblolly pine,,,Negative effect,1,7.5087385,7.509,33313757,1,True,False,Limited Scope Risk Assessment for Nontarget Ground-Dwelling Arthropods From Systemic Insecticide Applications to Young Pines.,1
INCHIKEY:KXDHJXZQYSOELW-UHFFFAOYSA-M||ChemicalEntity -- TEXT:ChemicalEntity:organophosphate||ChemicalEntity,Association,organophosphate,organophosphate,ChemicalEntity,TEXT:ChemicalEntity:organophosphate,,,carbamate,carbamate,ChemicalEntity,INCHIKEY:KXDHJXZQYSOELW-UHFFFAOYSA-M,276,KXDHJXZQYSOELW-UHFFFAOYSA-M,General association,3,7.508423,7.41,16704049,2,True,False,Dose-additive inhibition of chinook salmon acetylcholinesterase activity by mixtures of organophosphate and carbamate insecticides.,1
INCHIKEY:CVXBEEMKQHEXEN-UHFFFAOYSA-N||ChemicalEntity -- INCHIKEY:RMFNNCGOSPBBAD-UHFFFAOYSA-N||ChemicalEntity,Association,formetanate,formetanate,ChemicalEntity,INCHIKEY:RMFNNCGOSPBBAD-UHFFFAOYSA-N,31099,RMFNNCGOSPBBAD-UHFFFAOYSA-N,carbaril,carbaril,ChemicalEntity,INCHIKEY:CVXBEEMKQHEXEN-UHFFFAOYSA-N,6129,CVXBEEMKQHEXEN-UHFFFAOYSA-N,General association,2,7.508423,7.508,19934164,2,True,False,"Time-course, dose-response, and age comparative sensitivity of N-methyl carbamates in rats.",1
INCHIKEY:DUEPRVBVGDRKAG-UHFFFAOYSA-N||ChemicalEntity -- INCHIKEY:YFBPRJGDJKVWAH-UHFFFAOYSA-N||ChemicalEntity,Association,"(3,5-dimethyl-4-methylsulfanylphenyl) N-methylcarbamate","(3,5-dimethyl-4-methylsulfanylphenyl) N-methylcarbamate",ChemicalEntity,INCHIKEY:YFBPRJGDJKVWAH-UHFFFAOYSA-N,16248,YFBPRJGDJKVWAH-UHFFFAOYSA-N,carbofuran,carbofuran,ChemicalEntity,INCHIKEY:DUEPRVBVGDRKAG-UHFFFAOYSA-N,2566,DUEPRVBVGDRKAG-UHFFFAOYSA-N,General association,2,7.508423,7.508,19934164,2,True,False,"Time-course, dose-response, and age comparative sensitivity of N-methyl carbamates in rats.",1
INCHIKEY:KZAUOCCYDRDERY-UHFFFAOYSA-N||ChemicalEntity -- INCHIKEY:UHXUZOCRWCRNSJ-UHFFFAOYSA-N||ChemicalEntity,Association,methomyl,methomyl,ChemicalEntity,INCHIKEY:UHXUZOCRWCRNSJ-UHFFFAOYSA-N,4109,UHXUZOCRWCRNSJ-UHFFFAOYSA-N,oxamyl,oxamyl,ChemicalEntity,INCHIKEY:KZAUOCCYDRDERY-UHFFFAOYSA-N,31657,KZAUOCCYDRDERY-UHFFFAOYSA-N,General association,2,7.508423,7.508,19934164,2,True,False,"Time-course, dose-response, and age comparative sensitivity of N-methyl carbamates in rats.",1
